period,weeks,tag_weeks,questions,answers,unique_users,mean_answer_rate,mean_body_length,mean_code_share
post,179,17376,1802801,1865979,1673989,0.7469621069866482,2551.6348386405443,0.8842340364012747
pre,257,25627,11795287,14879964,10213825,0.8224104229133335,1861.2125081961246,0.8547724360464346
