placebo_cutoff,ddd,se,p,n
2020-05-30,0.06253522118992585,0.02345676618582779,0.008966336702829203,99185
2020-11-30,0.06429846078785988,0.01982694083803464,0.0016128161399484586,99185
2021-05-30,0.06703887007349307,0.020022185297994335,0.0011512037529157748,99185
2021-11-30,0.061987457889103606,0.022568375199150982,0.007153299027194526,99185
2022-05-30,0.059235601281650736,0.023106291230084782,0.011862640985876416,99185
REAL (2022-11-30),-0.13779059681993155,0.05192921965301629,0.00928307930193717,164351
