language,weeks,events,active_actors,first_seen_actors_language,pr_events,pr_first_seen_actors,issue_events,issue_first_seen_actors,so_dependence_log,so_dependence_rank
csharp,209,258620.0,144.0,13.0,7.0,3.0,4.0,3.0,12.944212312008949,0.8928571428571429
html,209,153430.0,347.0,4.0,0.0,0.0,0.0,0.0,12.81029024689004,0.8214285714285714
python,209,106459.0,9246.0,2092.0,5797.0,717.0,13702.0,1196.0,14.30913207615029,1.0
javascript,209,55870.0,180.0,2.0,0.0,0.0,0.0,0.0,14.13993797467784,0.9642857142857144
css,209,47948.0,60.0,2.0,0.0,0.0,0.0,0.0,12.416195798151977,0.7142857142857143
shell,209,45736.0,4997.0,761.0,1872.0,362.0,16637.0,707.0,10.293839022834243,0.0357142857142857
java,209,23564.0,106.0,1.0,0.0,0.0,0.0,0.0,13.199972356731312,0.9285714285714286
typescript,209,20656.0,9231.0,740.0,3031.0,272.0,15628.0,795.0,11.939460371030815,0.5714285714285714
php,209,19116.0,79.0,2.0,0.0,0.0,0.0,0.0,12.696130096010446,0.7857142857142857
