ai_q4,post,pre,delta_pct
Q1_low,2089.3669724770643,5031.296052631579,-58.47258935629046
Q2,3037.9449541284403,8287.440789473685,-63.342785411063275
Q3,4560.917431192661,13260.401315789473,-65.60498191135535
Q4_high,5643.853211009175,17579.809210526317,-67.89582217064229
