ai_q,period,body_length,accepted_share,code_share
low_AI,post,2156.173381142575,0.3027943967457079,0.7543340554538854
low_AI,pre,1869.931279371825,0.37038276896417666,0.735944200706035
high_AI,post,2047.7965923287165,0.3866228536936797,0.7964141537156673
high_AI,pre,1727.6080154245894,0.44971833459167376,0.7779263268230701
