spec,ddd,se,p,n,n_tags
baseline_full,-0.1377905968199312,0.051929219769485495,0.009283079454547094,164351,100
slope_q1,-0.0553565236915008,0.09136160228535063,0.5502653329376821,41185,25
slope_q2,-0.1874462159419585,0.10886901542176011,0.09797958162719755,41134,25
slope_q3,-0.08417336918705401,0.08137985019405108,0.31129379329405626,41257,25
slope_q4,-0.3220565591636451,0.12601720057296606,0.01735451370277108,40775,25
cem_matched_pairs,-0.1377905968199312,0.051929219769485495,0.009283079454547094,164351,100
interquartile_band,-0.15495831146804367,0.057788716051650924,0.009033603347418317,123185,75
