target,n_pre_weeks,n_post_weeks,observed_pre_total,observed_post_total,observed_pre_weekly_avg,observed_post_weekly_avg,observed_drop_weekly,trend_cf_post_total,trend_shortfall,ddd_displaced,residual_after_ddd,ddd_share_of_trend_shortfall
weekly_questions,152,109,6712160.0,1671197.0,44158.94736842105,15332.08256880734,28826.864799613715,3090104.3362036827,1418907.3362036827,70363.91277944161,1348543.4234242411,0.04959021000462355
weekly_reusable,152,109,2646471.0,541162.0,17410.99342105263,4964.788990825688,12446.204430226942,1037876.5358483907,496714.53584839066,28001.137299280414,468713.3985491102,0.05637269553920814
