event_type,2021,2022,2023,2024
CreateEvent,1071406,1355289,1254693,1347766
ForkEvent,104421,112217,89540,83096
IssueCommentEvent,64970,68628,66188,60113
IssuesEvent,46918,50164,50024,55753
PullRequestEvent,121958,157415,142556,130146
PushEvent,1563430,1912897,2149812,2372964
WatchEvent,261503,280214,302450,323424
