language,weeks,events,active_actors,first_seen_actors_language,pr_events,pr_first_seen_actors,issue_events,issue_first_seen_actors,so_dependence_log,so_dependence_rank
typescript,209,250995.0,130475.0,59427.0,62043.0,4646.0,148350.0,26085.0,11.939460371030815,0.5714285714285714
python,209,182920.0,106526.0,59041.0,45525.0,4951.0,91959.0,18864.0,14.30913207615029,1.0
go,209,175290.0,70916.0,26178.0,45146.0,3482.0,114000.0,12437.0,10.567231668726755,0.1428571428571428
java,209,135687.0,55360.0,15303.0,37423.0,2539.0,87387.0,8035.0,13.199972356731312,0.9285714285714286
cpp,209,81337.0,52812.0,21937.0,13365.0,2181.0,55598.0,11356.0,12.383524028925184,0.6785714285714286
javascript,209,64430.0,41156.0,23285.0,12599.0,1559.0,32235.0,5909.0,14.13993797467784,0.9642857142857144
shell,209,43877.0,16333.0,6484.0,12730.0,1290.0,27291.0,2372.0,10.293839022834243,0.0357142857142857
csharp,209,38953.0,22629.0,9054.0,8320.0,795.0,26235.0,5531.0,12.944212312008949,0.8928571428571429
c,209,37694.0,28149.0,13018.0,7917.0,1356.0,21245.0,5340.0,11.725501374934346,0.4642857142857143
ruby,209,33982.0,7733.0,2796.0,20277.0,473.0,12165.0,1300.0,10.545709791910785,0.1071428571428571
html,209,32842.0,16829.0,9060.0,8215.0,867.0,17269.0,1920.0,12.81029024689004,0.8214285714285714
php,209,21135.0,13434.0,5024.0,4995.0,830.0,12948.0,3368.0,12.696130096010446,0.7857142857142857
kotlin,209,12903.0,7231.0,3471.0,2044.0,427.0,8203.0,892.0,11.178529072293356,0.25
scala,209,6838.0,2703.0,632.0,2671.0,156.0,3855.0,334.0,10.514882231223812,0.0714285714285714
swift,209,3179.0,2316.0,574.0,706.0,114.0,2167.0,307.0,11.903256630493676,0.5357142857142857
css,209,1019.0,621.0,235.0,144.0,17.0,772.0,165.0,12.416195798151977,0.7142857142857143
