outcome,treatment,coefficient,std_error_cluster_language,p_value,n_obs,n_languages,adj_r2
log1p_events,so_dependence_log,0.051471114631295875,0.07541599001050671,0.4949253451171577,3344,16,0.935121393566049
log1p_active_actors,so_dependence_log,0.025747549742711217,0.04243856090123156,0.544048851588397,3344,16,0.9607524083608113
log1p_first_seen_actors_language,so_dependence_log,0.042441642897982995,0.05188761264092671,0.4133838658277421,3344,16,0.9428337406905243
log1p_pr_events,so_dependence_log,-0.02150885265043967,0.08466817965193589,0.7994669526694327,3344,16,0.9133379963157039
log1p_pr_first_seen_actors,so_dependence_log,0.05132655575660982,0.029728769993261947,0.08425850081293268,3344,16,0.8418215669143285
log1p_issue_events,so_dependence_log,0.08681420826865821,0.0868497645196703,0.31750867381109305,3344,16,0.9169533451997105
log1p_issue_first_seen_actors,so_dependence_log,0.01411590204968962,0.05171024115215876,0.78486798872852,3344,16,0.9256569470365702
log1p_events,so_dependence_rank,0.24113918501486853,0.2867061786202762,0.4003102456677744,3344,16,0.9353794550454663
log1p_active_actors,so_dependence_rank,0.13266132326204294,0.1488652226917855,0.3728484156024704,3344,16,0.9608675536302947
log1p_first_seen_actors_language,so_dependence_rank,0.17265430570462964,0.17048375347873787,0.31118832015919107,3344,16,0.9429031350614695
log1p_pr_events,so_dependence_rank,-0.05962769019436914,0.3369256653853366,0.8595273959358706,3344,16,0.9133047425794851
log1p_pr_first_seen_actors,so_dependence_rank,0.14862675646188833,0.11970472561620862,0.214379959715836,3344,16,0.8414651090816431
log1p_issue_events,so_dependence_rank,0.3857262220113694,0.3393316734376233,0.25565397285202873,3344,16,0.9175122386735428
log1p_issue_first_seen_actors,so_dependence_rank,0.0640149119184085,0.21092192538072285,0.7615084588825418,3344,16,0.9256782436763605
