outcome,label,beta,se,p,ci_low,ci_high,mde_80,n_obs,n_artefacts
score_eq_0,score = 0,-0.2079849244798559,0.04685921548130184,2.355765680861488e-05,-0.3009637741758957,-0.11500607478381608,0.13120580334764514,164351,1620830
score_eq_1,score = 1,-0.2028763216881504,0.04402843215170559,1.214140150751497e-05,-0.2902382831153371,-0.11551436026096369,0.12327961002477565,164351,895360
score_eq_2,score = 2,-0.2120890714283304,0.0474537517563379,2.0898213397346765e-05,-0.3062476100796298,-0.11793053277703099,0.1328705049177461,164351,341274
score_eq_3,score = 3,-0.164121132009682,0.04294924604362853,0.00023193527444820283,-0.24934175406730563,-0.0789005099520584,0.12025788892215987,164351,137393
score_eq_4,score = 4,-0.12397951060014584,0.04126536753726037,0.0033701588293644225,-0.20585895238102175,-0.042100068819269934,0.11554302910432904,164351,64650
score_ge_5,score $\geq$ 5,-0.0906301016811018,0.05707136724148414,0.11547207574108365,-0.2038720760118684,0.022611872649664813,0.1597998282761556,164351,128126
