period,n_weeks,total_questions,mean_q_per_week,total_users,mean_accepted_share,mean_answer_rate,mean_closed_share
post,109,1671197,15332.08256880734,1599672,0.3415614384265572,0.9925790270968236,0.05607678605656487
pre,152,6712160,44158.94736842105,6175730,0.4088385036583679,1.1233712903569657,0.05129328691474621
