event_type,2021,2022,2023,2024
CreateEvent,2274612,2830843,2687914,3194476
ForkEvent,267110,284947,248820,253787
IssueCommentEvent,922901,1064568,1020987,1110440
IssuesEvent,366967,384698,402064,429427
PullRequestEvent,1381841,1763839,1592017,1702370
PushEvent,7435654,10428505,14584976,19278531
WatchEvent,736577,785150,958984,1019716
