outcome,full_sample_estimate,full_sample_se,matched_sample_estimate,matched_sample_se,difference_matched_minus_full,n_matched_tags
log_questions,-0.3012703189551712,0.06974571868114414,-0.26710277555513595,0.07377037567378715,0.03416754340003525,66
log_answers,-0.25390675400773094,0.06639272100609755,-0.2234159160432846,0.07152001927228177,0.03049083796444635,66
short_code_share,-0.033825463307255645,0.005111599340179132,-0.038490982484251625,0.004250717978295638,-0.00466551917699598,66
