spec,beta,se,t,p,ci_low,ci_high,n_obs
"CR1 (Liang-Zeger, baseline)",-0.1081789418032067,0.04599327681380926,-2.3520598943436553,0.020649352456098446,-0.1994395813161736,-0.0169183022902398,164351
"CR3 (jackknife, n_cluster=100)",-0.1081789418032067,0.04946603626469521,-2.1869337018299957,0.031102295198129015,-0.20633028948740342,-0.01002759411900997,164351
