outcome,estimate,percent_change_per_sd_ai,pre_period_mean_weekly_tag_count,approx_count_change_per_tag_week
log_questions,-0.3012703189551712,-26.01222572663966,460.2679595738869,-119.72594059175803
log_answers,-0.25390675400773094,-22.423586442939392,580.6362040035899,-130.1994611237469
log_unique_users,-0.28839624217032767,-25.05354360700386,398.557185780622,-99.85269833839551
