cluster,se,p,estimate
tag,0.051929219769485495,0.009283079454547094,-0.1377905968199312
week_id,0.01244187250824233,0.0,-0.1377905968199312
twoway (tag + week_id),0.05221885603477913,0.008322918779954724,-0.1377905968199312
