spec,ddd,ddd_se,ddd_p,ai_sub_t,ai_sub_t_p,n
baseline,-0.13779059681993155,0.05192921965301629,0.00928307930193717,,,164351
trend_linear,-0.11588196828118735,0.05936339312193349,0.05375396182035774,-0.00016977962046439476,0.5556317677446438,164351
trend_quadratic,0.02150582736759053,0.052262072926968314,0.6815956595272195,0.0040239170271855465,5.017878816904187e-07,164351
