tag,raw_folder_exists,n_json_files,first_json_file,last_json_file,manifest_status_if_available,failed_windows_if_available,page_cap_hit_if_available,status
flutter,True,31,flutter_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,flutter_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page031.json,complete:1,0,0,ok_raw_present
for-loop,True,2,for-loop_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,for-loop_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page002.json,complete:1,0,0,ok_raw_present
function,True,3,function_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,function_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
ggplot2,True,6,ggplot2_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,ggplot2_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
git,True,10,git_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,git_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page010.json,complete:1,0,0,ok_raw_present
go,True,7,go_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,go_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page007.json,complete:1,0,0,ok_raw_present
google-apps-script,True,5,google-apps-script_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,google-apps-script_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
google-cloud-firestore,True,3,google-cloud-firestore_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,google-cloud-firestore_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
google-cloud-platform,True,8,google-cloud-platform_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,google-cloud-platform_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page008.json,complete:1,0,0,ok_raw_present
google-sheets,True,7,google-sheets_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,google-sheets_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page007.json,complete:1,0,0,ok_raw_present
html,True,31,html_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,html_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page031.json,complete:1,0,0,ok_raw_present
ios,True,26,ios_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,ios_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page026.json,complete:1,0,0,ok_raw_present
java,True,58,java_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,java_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page058.json,complete:1,0,0,ok_raw_present
javascript,True,63,javascript_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,javascript_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page063.json,complete:1,0,0,ok_raw_present
jquery,True,5,jquery_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,jquery_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
json,True,9,json_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,json_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page009.json,complete:1,0,0,ok_raw_present
keras,True,2,keras_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,keras_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page002.json,complete:1,0,0,ok_raw_present
kotlin,True,18,kotlin_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,kotlin_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page018.json,complete:1,0,0,ok_raw_present
kubernetes,True,5,kubernetes_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,kubernetes_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
laravel,True,12,laravel_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,laravel_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page012.json,complete:1,0,0,ok_raw_present
linux,True,10,linux_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,linux_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page010.json,complete:1,0,0,ok_raw_present
list,True,3,list_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,list_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
loops,True,17,loops_2025-01-01T00-00-00Z_2025-02-01T00-00-00Z_page001.json,loops_2025-12-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,complete:17,0,0,ok_raw_present
machine-learning,True,4,machine-learning_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,machine-learning_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
macos,True,9,macos_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,macos_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page009.json,complete:1,0,0,ok_raw_present
matplotlib,True,5,matplotlib_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,matplotlib_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
mongodb,True,5,mongodb_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,mongodb_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
multithreading,True,6,multithreading_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,multithreading_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
mysql,True,6,mysql_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,mysql_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
node.js,True,21,nodedotjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,nodedotjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page021.json,complete:1,0,0,ok_raw_present
numpy,True,6,numpy_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,numpy_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
opencv,True,17,opencv_2025-01-01T00-00-00Z_2025-02-01T00-00-00Z_page001.json,opencv_2025-12-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,complete:17,0,0,ok_raw_present
oracle-database,True,6,oracle-database_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,oracle-database_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
pandas,True,11,pandas_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,pandas_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page011.json,complete:1,0,0,ok_raw_present
