outcome,label,beta,se,p,ci_low,ci_high,n_obs,implied_displaced
curated_artefacts,"Curated artefact (count, baseline)",-0.11828056916001015,0.04866117193079996,0.016869202905082092,-0.21483489138916462,-0.02172624693085569,164351,28001.137299280414
high_value_artifacts,High-value (score $\geq 1$),-0.13083273106774138,0.050489732238969035,0.01100668243747216,-0.231015313657363,-0.030650148478119754,164351,15239.366576014807
very_high_value_artifacts,Very-high-value (score $\geq 5$),-0.09063010168110125,0.05707136730387919,0.11547207613393562,-0.20387207613567318,0.02261187277347068,164351,309.4456527757608
value_weighted_artifacts,"Value-weighted ($\log(1+\max(s,0))$)",-0.10946964261444111,0.05536598787694443,0.05079997418354809,-0.21932777430120237,0.00038848907232012786,164351,11294.146898221956
