threshold,k,beta,se,p,ci_low,ci_high,n,n_total
score $\geq$ 1 (voting-normalised),1,-0.1437657646756671,0.0542471165985159,0.009366239660575815,-0.25140381300512726,-0.0361277163462069,164351,1555212
score $\geq$ 2 (voting-normalised),2,-0.17932327396122383,0.049439186179091134,0.00045516656743549433,-0.2774213452504134,-0.08122520267203426,164351,671673
score $\geq$ 5 (voting-normalised),5,-0.0979101662990787,0.04274884678070493,0.024121924787236182,-0.18273315274212387,-0.013087179856033512,164351,134838
