lb,ub,method,Delta,Mbar
-0.0019679609042492774,0.06887863164872338,C-LF,DeltaRM,0.0
-0.025583491755240162,0.1003660061167112,C-LF,DeltaRM,0.5
-0.06100678803172649,0.13972522420169597,C-LF,DeltaRM,1.0
-0.09643008430821282,0.1751485204781823,C-LF,DeltaRM,1.5
-0.1357893023931976,0.21844366037166563,C-LF,DeltaRM,2.0
