budget,oracle,calibrated,naive,random,regret_naive,regret_calibrated
0.1,0.21326820350524262,0.21326820350524262,0.19524201441761535,0.08237230074811057,0.08452356606072381,0.0
0.25,0.4345247393185267,0.4345247393185267,0.4258243941223293,0.22874096610509265,0.02002266938780587,0.0
0.4,0.5920916189918967,0.5920379673724214,0.591594004582395,0.37630352271354867,0.0008404348137015266,9.061371205791557e-05
0.5,0.6722215627815633,0.6706910191698539,0.6608098865430625,0.477091359936539,0.016976063950226196,0.002276843969979586
