clip,k1_beta,k1_p,k2_beta,k2_p,k5_beta,k5_p
no clip,-0.1437657646756671,0.009366239660575815,-0.17932327396122383,0.00045516656743549433,-0.0979101662990787,0.024121924787236182
"[0.3, 5.0]",-0.1437657646756671,0.009366239660575815,-0.17932327396122383,0.00045516656743549433,-0.0979101662990787,0.024121924787236182
"[0.5, 3.0] (main)",-0.1437657646756671,0.009366239660575815,-0.17932327396122383,0.00045516656743549433,-0.0979101662990787,0.024121924787236182
"[0.7, 2.0]",-0.1437657646756671,0.009366239660575815,-0.17932327396122383,0.00045516656743549433,-0.0979101662990787,0.024121924787236182
