cost_ratio_FN_FP,theta_star,exp_loss,precision,recall,n_flagged
1,1.6024592804504616,0.39,0.14285714285714285,0.029411764705882353,7
2,1.0285447356075275,0.61,0.35789473684210527,1.0,95
5,1.0285447356075275,0.61,0.35789473684210527,1.0,95
