budget,VtD,Activity,Volume,Random,Oracle
0.1,0.0660469733737936,0.17137329594414552,0.0,0.08359794392834313,0.0
0.25,0.11975337029569759,0.4103217457528006,0.1609115331549675,0.22803887357942096,0.2794059232365569
0.4,0.28706779539496374,0.5703847951313815,0.27265199096060766,0.3783103272471271,0.38365554956556075
0.5,0.36123120869762443,0.6552168192456841,0.3365536944830227,0.47502483542676033,0.5226622362849535
