spec,ddd,se,p,n,n_tags
baseline_full,-0.1081789418032067,0.045993276813809394,0.02064935245609867,164351,100
slope_q1,0.05489891922979601,0.0978838909223003,0.5800937785406208,41185,25
slope_q2,-0.2453403916694904,0.09752109802511232,0.018975463563149386,41134,25
slope_q3,-0.07925982534432188,0.06473625032683496,0.23270316834961702,41257,25
slope_q4,-0.24259483893831787,0.12371743983442807,0.0615977131593175,40775,25
cem_matched_pairs,-0.1081789418032067,0.045993276813809394,0.02064935245609867,164351,100
interquartile_band,-0.12849833055994844,0.04958783409716313,0.011511439529611422,123185,75
