spec,controls,ai_proxy_coef,ai_proxy_se,ai_proxy_p,ai_proxy_t,r2,n_tags
(1) bivariate,none,0.047434577595855246,0.015957112502471955,0.002952609725003805,2.9726291387935655,0.16716362384663064,100
(2) + log(pre-volume),log_pre_volume,0.05487782175848693,0.018110301350003327,0.002443924429013708,3.030199260515168,0.18349916678370726,100
(3) + maturity,"log_pre_volume, tag_maturity_weeks_pre",0.07306398653942432,0.010886825987558184,1.9299143460085292e-11,6.7112293907263885,0.2907997670917548,100
(4) + accepted rate,"log_pre_volume, tag_maturity_weeks_pre, accepted_answer_rate_pre",0.025878434909141386,0.036232058620238365,0.47507794423085403,0.7142413623355729,0.31020175998893995,100
