k,beta,se,t,p_bootstrap_single,p_romano_wolf
0,-0.1182805691600107,0.048661172029716565,-2.4306970881790257,0.02702702702702703,0.07707707707707707
1,-0.1308327310677418,0.05048973230670779,-2.5912740093961655,0.03303303303303303,0.06806806806806807
2,-0.14464489825946458,0.05530884778622145,-2.6152216878309034,0.028028028028028028,0.06606606606606606
3,-0.1255191178043549,0.057667659440397576,-2.1765946289893248,0.05805805805805806,0.09309309309309309
4,-0.11105470489082407,0.05962378411164212,-1.8625906850004774,0.10810810810810811,0.12512512512512514
5,-0.09063370704474068,0.05707006130294023,-1.5881130136454096,0.16916916916916916,0.16916916916916916
