threshold,k,beta,se,p,ci_low,ci_high,n,n_total
score $\geq$ 0,0,-0.11828056916001015,0.04866117193079996,0.016869202905082092,-0.21483489138916462,-0.02172624693085569,164351,3187633
score $\geq$ 1,1,-0.13083273106774138,0.050489732238969035,0.01100668243747216,-0.231015313657363,-0.030650148478119754,164351,1566803
score $\geq$ 2,2,-0.1446448982594635,0.05530884776102865,0.010311051063973453,-0.254389651559609,-0.03490014495931795,164351,671443
score $\geq$ 3,3,-0.12551911780435407,0.057667659463144366,0.03188856860747191,-0.23994426526943802,-0.011093970339270107,164351,330169
score $\geq$ 4,4,-0.11104500801083836,0.05962402588803243,0.06550930616099171,-0.22935201089969973,0.007261994878023009,164351,192776
score $\geq$ 5,5,-0.09063010168110125,0.05707136730387919,0.11547207613393562,-0.20387207613567318,0.02261187277347068,164351,128126
