spec,beta,se,p,n
pre-2025 gate,-0.10592740333279195,0.045902170012246,0.023098714991784286,164009
full 2020-2025,-0.17185693721659498,0.053779404002129626,0.0018728134405883168,186188
"full 2020-2025, boundary-excluded",-0.20321073862948663,0.061440161093640575,0.0013129633041200073,172591
