lb,ub,method,Delta,Mbar
-0.09766006999839655,-0.02872354999952842,C-LF,DeltaRM,0.0
-0.11680910333141548,-0.021063936666320837,C-LF,DeltaRM,0.25
-0.1359581366644344,-0.009574516666509492,C-LF,DeltaRM,0.5
-0.15893697666405712,0.009574516666509436,C-LF,DeltaRM,0.75
-0.18574562333028363,0.028723549999528364,C-LF,DeltaRM,1.0
-0.23170330332952904,0.0746812299987738,C-LF,DeltaRM,1.5
-0.28149078999537824,0.12446871666462306,C-LF,DeltaRM,2.0
