spec,beta,se,p,n
Full sample (post = Nov 2022 -- Dec 2024),-0.1081789418032067,0.04599327681380926,0.020649352456098446,164351
Ends before moderation strike (2023-06-05),-0.005518098738328123,0.026007866535742632,0.8324103379883969,115622
Ends before SO--OpenAI licence (2024-05-06),-0.06777457850956066,0.037753383951626106,0.0756743580195447,144975
